,Name,Year,Min,Genre,Rate,Votes,Cast
161, Консервный ряд ,1982,120,"Comedy, Drama, Romance",6.6,3758, David S. Ward 
162, Последний рыцарь ,2000,120,"Adventure, Comedy, Romance",6.1,1679, Peter Yates 
163, Тихий американец ,1958,120,"Drama, Romance, Thriller",6.7,1904, Joseph L. Mankiewicz 
164, Лунный камень ,1996,120,"Crime, Drama, Mystery",6.6,513, Robert Bierman 
165, Boquitas pintadas ,1974,120,Drama,6.9,260, Leopoldo Torre Nilsson 
166, Kokoro ,1955,120,Drama,7.3,441, Kon Ichikawa 
167, Высотка ,2015,119,"Drama, Sci-Fi",5.5,42270, Ben Wheatley 
168, Интим ,2001,119,"Drama, Romance",6.1,12175, Patrice Chéreau 
169, Опасные связи ,1988,119,"Drama, Romance",7.6,69472, Stephen Frears 
170, Коллекционер ,1965,119,"Drama, Thriller",7.5,10743, William Wyler 
171, Процесс ,1962,119,"Drama, Mystery, Thriller",7.6,21381, Orson Welles 
172, Измеряя мир ,2012,119,"Biography, Drama, History",5.7,2798, Detlev Buck 
173, Бесчестье ,2008,119,Drama,6.5,5530, Steve Jacobs 
174, Жизнь ,2016,119,Drama,6.3,1201, Stéphane Brizé 
175, Cтрах и ненависть в Лас-Вегасе ,1998,118,"Adventure, Comedy, Drama",7.5,278267, Terry Gilliam 
176, Гордость и предубеждение ,1940,118,"Drama, Romance",7.4,8348, Robert Z. Leonard 
177, Большие надежды ,1946,118,"Adventure, Drama, Mystery",7.8,24302, David Lean 
178, Тайна отца Амаро ,2002,118,"Drama, Romance",6.7,13811, Carlos Carrera 
179, Пригоршня праха ,1988,118,"Drama, Romance",6.6,2051, Charles Sturridge 
180, Сестра Кэрри ,1952,118,"Drama, Romance",7.3,2427, William Wyler 
181, Бегущий по лезвию ,1982,117,"Action, Drama, Sci-Fi",8.1,751553, Ridley Scott 
182, Комната с видом ,1985,117,"Drama, Romance",7.2,43402, James Ivory 
183, Маг ,1968,117,"Drama, Fantasy, Mystery",5.6,1739, Guy Green 
184," Город, похожий на Элис ",1956,117,"Drama, Romance, War",7.2,1670, Jack Lee 
185, На Чёрной горе ,1988,117,Drama,6.6,169, Andrew Grieve 
186, Цельнометаллическая оболочка ,1987,116,"Drama, War",8.3,726496, Stanley Kubrick 
187, Моби Дик ,1956,116,"Adventure, Drama",7.3,19935, John Huston 
188, Расцвет мисс Джин Броди ,1969,116,"Comedy, Drama, Romance",7.6,9122, Ronald Neame 
